id;name;height;weight;evolves_from_species_id;evolution_chain_id;habitat_id;has_gender_differences;description;owned
1;bulbasaur;7;69;0;1;3;0;Bulbasaur can be seen napping in bright sunlight.There is a seed on its back. By soaking up the sun's rays,the seed grows progressively larger.;0
2;ivysaur;10;130;1;1;3;0;There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.;0
3;venusaur;20;1000;2;1;3;1;There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.;0
4;charmander;6;85;0;2;4;0;The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.;0
5;charmeleon;11;190;4;2;4;0;Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.;0
6;charizard;17;905;5;2;4;0;Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.;0
7;squirtle;5;90;0;3;9;0;Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.;0
8;wartortle;10;225;7;3;9;0;Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.;0
9;blastoise;16;855;8;3;9;0;Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.;0
10;caterpie;3;29;0;4;2;0;Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor. ;0
11;metapod;7;99;10;4;2;0;The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.;0
12;butterfree;11;320;11;4;2;1;Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.;0
13;weedle;3;32;0;5;2;0;Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).;0
14;kakuna;6;100;13;5;2;0;Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.;0
15;beedrill;10;295;14;5;2;0;Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.;0
16;pidgey;3;18;0;6;2;0;Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.;0
17;pidgeotto;11;300;16;6;2;0;Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.;0
18;pidgeot;15;395;17;6;2;0;This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.;0
19;rattata;3;35;0;7;3;1;Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.;0
20;raticate;7;185;19;7;3;1;Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.;0
21;spearow;3;20;0;8;6;0;Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.;0
22;fearow;12;380;21;8;6;0;Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.;0
23;ekans;20;69;0;9;3;0;Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.;0
24;arbok;35;650;23;9;3;0;This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.;0
25;pikachu;4;60;172;10;2;1;This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.;0
26;raichu;8;300;25;10;2;1;This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.;0
27;sandshrew;6;120;0;11;6;0;Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.;0
28;sandslash;10;295;27;11;6;0;Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.;0
29;nidoran-f;4;70;0;12;3;0;Nidoran has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.;0
30;nidorina;8;200;29;12;3;0;When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.;0
31;nidoqueen;13;600;30;12;3;0;Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.;0
32;nidoran-m;5;90;0;13;3;0;Nidoran‚ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.;0
33;nidorino;9;195;32;13;3;0;Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once,and it challenges the foe with all its might.;0
34;nidoking;14;620;33;13;3;0;Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.;0
35;clefairy;6;75;173;14;4;0;On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairyreturn to their quiet mountain retreats and go to sleep nestled up against each other.;0
36;clefable;13;400;35;14;4;0;Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.;0
37;vulpix;6;99;0;15;3;0;Inside Vulpix's body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.;0
38;ninetales;11;199;37;15;3;0;Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand  human speech.;0
39;jigglypuff;5;55;174;16;3;0;When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.;0
